sn,stock,ltp,point_change,percent_change,open,high,low,volume,prev_close,detail_link
185,SIFC,328.00,-5.80,-1.74,335.00,335.10,327.50,"3,811.00",333.80,https://www.sharesansar.com/company/sifc
186,SIGS2,8.23,-0.54,-6.16,8.67,8.67,8.23,"16,900.00",8.77,https://www.sharesansar.com/company/sigs2
187,SINDU,291.50,1.50,0.52,290.00,305.00,290.00,"4,235.00",290.00,https://www.sharesansar.com/company/sindu
188,SJCL,240.00,1.00,0.42,240.00,242.00,235.00,"3,096.00",239.00,https://www.sharesansar.com/company/sjcl
189,SKBBL,"1,069.00",0.00,0.00,"1,088.00","1,088.00","1,059.00","1,476.00","1,069.00",https://www.sharesansar.com/company/skbbl
190,SLBBL,916.90,2.90,0.32,906.00,924.00,901.00,288.00,914.00,https://www.sharesansar.com/company/slbbl
191,SLBSL,"1,485.00",105.00,7.61,"1,400.00","1,485.00","1,400.00",70.00,"1,380.00",https://www.sharesansar.com/company/slbsl
192,SLCF,7.80,-0.14,-1.76,7.79,7.80,7.79,300.00,7.94,https://www.sharesansar.com/company/slcf
193,SMATA,815.00,15.00,1.88,815.00,815.00,815.00,20.00,800.00,https://www.sharesansar.com/company/smata
194,SMB,"1,400.00",125.00,9.80,"1,300.50","1,402.50","1,300.50",60.00,"1,275.00",https://www.sharesansar.com/company/smb
195,SMFBS,"1,542.00",-27.00,-1.72,"1,545.20","1,545.20","1,542.00",59.00,"1,569.00",https://www.sharesansar.com/company/smfbs
196,SMFDB,823.20,-16.80,-2.00,840.00,840.00,823.20,80.00,840.00,https://www.sharesansar.com/company/smfdb
197,SPC,460.00,5.00,1.10,464.00,482.60,451.00,720.00,455.00,https://www.sharesansar.com/company/spc
198,SPDL,299.00,-3.00,-0.99,303.00,306.00,296.20,"7,357.00",302.00,https://www.sharesansar.com/company/spdl
199,SRBL,209.00,-1.50,-0.71,211.00,211.00,205.80,"31,792.00",210.50,https://www.sharesansar.com/company/srbl
200,SRD80,945.00,5.00,0.53,945.00,945.00,945.00,50.00,940.00,https://www.sharesansar.com/company/srd80
201,SSHL,209.00,1.00,0.48,211.00,212.00,205.00,"5,688.00",208.00,https://www.sharesansar.com/company/sshl
202,STC,"3,835.00",-1.00,-0.03,"3,900.00","3,900.00","3,772.00","1,020.00","3,836.00",https://www.sharesansar.com/company/stc
203,SWBBL,"1,216.00",-24.00,-1.94,"1,238.00","1,239.00","1,216.00","3,019.00","1,240.00",https://www.sharesansar.com/company/swbbl
204,SWMF,760.00,15.60,2.10,745.00,760.00,744.80,"1,640.00",744.40,https://www.sharesansar.com/company/swmf
205,TPC,418.00,-2.10,-0.50,428.00,432.00,414.00,"8,035.00",420.10,https://www.sharesansar.com/company/tpc
206,TRH,335.00,-2.90,-0.86,337.00,337.00,331.00,690.00,337.90,https://www.sharesansar.com/company/trh
